plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Frontopsylla hetera,Spermophilus undulatus,pollination,WebOfLife,3,,
Oropsylla silantiewi,Spermophilus undulatus,pollination,WebOfLife,2,,
Paramonopsyllus scalonae,Spermophilus undulatus,pollination,WebOfLife,2,,
Rhadinopsylla li,Spermophilus undulatus,pollination,WebOfLife,3,,
Amphipsylla primaris,Alticola argentatus,pollination,WebOfLife,5,,
Neopsylla mana,Alticola argentatus,pollination,WebOfLife,4,,
Amphipsylla primaris,Ellobius tancrei,pollination,WebOfLife,2,,
Neopsylla mana,Ellobius tancrei,pollination,WebOfLife,1,,
Ophthalmopsylla praefecta,Allactaga sibirica,pollination,WebOfLife,3,,
Amphipsylla primaris,Lasiopodomys brandtii,pollination,WebOfLife,2,,
Frontopsylla hetera,Lasiopodomys brandtii,pollination,WebOfLife,2,,
Frontopsylla luculenta,Lasiopodomys brandtii,pollination,WebOfLife,1,,
Neopsylla mana,Lasiopodomys brandtii,pollination,WebOfLife,2,,
Oropsylla alaskensis,Lasiopodomys brandtii,pollination,WebOfLife,1,,
Oropsylla silantiewi,Lasiopodomys brandtii,pollination,WebOfLife,1,,
Pectinoctenus pavlovskii,Lasiopodomys brandtii,pollination,WebOfLife,1,,
Rhadinopsylla dahurica,Lasiopodomys brandtii,pollination,WebOfLife,2,,
Rhadinopsylla li,Lasiopodomys brandtii,pollination,WebOfLife,1,,
Rhadinopsylla rothschildi,Lasiopodomys brandtii,pollination,WebOfLife,2,,
Ctenophyllus hirticrus,Marmota sibirica,pollination,WebOfLife,1,,
Frontopsylla hetera,Marmota sibirica,pollination,WebOfLife,2,,
Neopsylla mana,Marmota sibirica,pollination,WebOfLife,2,,
Oropsylla silantiewi,Marmota sibirica,pollination,WebOfLife,2,,
Frontopsylla hetera,Phodopus sungorus,pollination,WebOfLife,3,,
Amphalius runatus,Spermophilus undulatus,pollination,WebOfLife,2,,
Neopsylla abagaitui,Spermophilus undulatus,pollination,WebOfLife,1,,
Neopsylla bidentatiformis,Spermophilus undulatus,pollination,WebOfLife,2,,
Rhadinopsylla dahurica,Spermophilus undulatus,pollination,WebOfLife,1,,
Frontopsylla hetera,Ellobius tancrei,pollination,WebOfLife,1,,
Amphipsylla longispina,Allactaga sibirica,pollination,WebOfLife,1,,
Frontopsylla elatoides,Allactaga sibirica,pollination,WebOfLife,1,,
Frontopsylla hetera,Allactaga sibirica,pollination,WebOfLife,1,,
Frontopsylla wagneri,Allactaga sibirica,pollination,WebOfLife,2,,
Neopsylla mana,Allactaga sibirica,pollination,WebOfLife,1,,
