plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Eryngium campestre,Oedemera barbara,pollination,EuPPollNet,1,Spain,
Bituminaria bituminosa,Lasioglossum pauxillum,pollination,EuPPollNet,1,Spain,
Lomelosia stellata,Seladonia subaurata,pollination,EuPPollNet,1,Spain,
Petrosedum sediforme,Mediimorda bipunctata,pollination,EuPPollNet,1,Spain,
Opuntia stricta,Anthidium septemspinosum,pollination,EuPPollNet,3,Spain,
Dianthus caryophyllus,Oedemera flavipes,pollination,EuPPollNet,1,Spain,
Ruta chalepensis,Seladonia gemmea,pollination,EuPPollNet,2,Spain,
Petrosedum sediforme,Trichodes apiarius,pollination,EuPPollNet,1,Spain,
Daucus carota,Scolia hirta,pollination,EuPPollNet,1,Spain,
Bituminaria bituminosa,Anthidium septemspinosum,pollination,EuPPollNet,1,Spain,
Petrosedum sediforme,Anthidium septemspinosum,pollination,EuPPollNet,1,Spain,
Daucus carota,Stenopterus rufus,pollination,EuPPollNet,10,Spain,
Bituminaria bituminosa,Mylabris quadripunctata,pollination,EuPPollNet,5,Spain,
Opuntia stricta,Mediimorda bipunctata,pollination,EuPPollNet,2,Spain,
Hypericum perfoliatum,Anthidium septemspinosum,pollination,EuPPollNet,1,Spain,
Daucus carota,Psilothrix viridicoerulea,pollination,EuPPollNet,39,Spain,
Cistus parviflorus,Halictus patellatus,pollination,EuPPollNet,1,Greece,
Helichrysum stoechas,Merodon albifrons,pollination,EuPPollNet,9,Greece,
Teucrium capitatum,Anthidiellum breviusculum,pollination,EuPPollNet,2,Greece,
Ononis pubescens,Anthidiellum strigatum,pollination,EuPPollNet,2,Greece,
Satureja thymbra,Anthidiellum strigatum,pollination,EuPPollNet,2,Greece,
Genista acanthoclada,Anthidiellum strigatum,pollination,EuPPollNet,3,Greece,
Stachys cretica,Anthidium dalmaticum,pollination,EuPPollNet,1,Greece,
Hypericum empetrifolium,Anthidium dalmaticum,pollination,EuPPollNet,1,Greece,
Convolvulus althaeoides,Hoplitis perezi,pollination,EuPPollNet,3,Greece,
Stachys cretica,Bombus terrestris,pollination,EuPPollNet,10,Greece,
Salvia fruticosa,Bombylius medius,pollination,EuPPollNet,5,Greece,
Stachys cretica,Bombylius posticus,pollination,EuPPollNet,11,Greece,
Satureja thymbra,Bombylius posticus,pollination,EuPPollNet,161,Greece,
Helichrysum stoechas,Andrena colletiformis,pollination,EuPPollNet,1,Greece,
Daucus carota,Andrena colletiformis,pollination,EuPPollNet,20,Greece,
Salvia fruticosa,Anthophora dufourii,pollination,EuPPollNet,4,Greece,
Stachys cretica,Anthophora dufourii,pollination,EuPPollNet,1,Greece,
Stachys cretica,Megachile montenegrensis,pollination,EuPPollNet,2,Greece,
Bituminaria bituminosa,Megachile montenegrensis,pollination,EuPPollNet,2,Greece,
Salvia fruticosa,Megachile parietina,pollination,EuPPollNet,7,Greece,
Stachys cretica,Megachile parietina,pollination,EuPPollNet,8,Greece,
Helichrysum stoechas,Andrena cinereophila,pollination,EuPPollNet,1,Greece,
Sonchus asper,Andrena orientana,pollination,EuPPollNet,1,Greece,
Leontodon tuberosus,Andrena merula,pollination,EuPPollNet,2,Greece,
Hypochaeris achyrophorus,Cryptocephalus rugicollis,pollination,EuPPollNet,22,Greece,
Leontodon tuberosus,Cryptocephalus rugicollis,pollination,EuPPollNet,28,Greece,
Helichrysum stoechas,Hylaeus imparilis,pollination,EuPPollNet,4,Greece,
Teucrium capitatum,Hylaeus imparilis,pollination,EuPPollNet,1,Greece,
Daucus carota,Hylaeus imparilis,pollination,EuPPollNet,48,Greece,
Cistus parviflorus,Polistes dominula,pollination,EuPPollNet,1,Greece,
Cistus parviflorus,Eristalis tenax,pollination,EuPPollNet,1,Greece,
Sonchus asper,Eristalis tenax,pollination,EuPPollNet,2,Greece,
Stachys cretica,Osmia andrenoides,pollination,EuPPollNet,1,Greece,
Satureja thymbra,Osmia andrenoides,pollination,EuPPollNet,2,Greece,
Daucus carota,Acmaeoderella villosula,pollination,EuPPollNet,17,Greece,
Salvia fruticosa,Eucera kullenbergi,pollination,EuPPollNet,4,Greece,
Salvia viridis,Eucera ebmeri,pollination,EuPPollNet,1,Greece,
Cistus parviflorus,Lasioglossum laticeps,pollination,EuPPollNet,4,Greece,
Helichrysum stoechas,Lasioglossum malachurum,pollination,EuPPollNet,10,Greece,
Cistus parviflorus,Lasioglossum marginatum,pollination,EuPPollNet,62,Greece,
Cistus salviifolius,Lasioglossum marginatum,pollination,EuPPollNet,4,Greece,
Helichrysum stoechas,Lasioglossum marginatum,pollination,EuPPollNet,1,Greece,
Crepis commutata,Lasioglossum marginatum,pollination,EuPPollNet,1,Greece,
Helichrysum stoechas,Lasioglossum pauxillum,pollination,EuPPollNet,14,Greece,
Daucus carota,Lasioglossum glabriusculum,pollination,EuPPollNet,38,Greece,
Cistus salviifolius,Trichodes punctatus,pollination,EuPPollNet,3,Greece,
Daucus carota,Polistes gallicus,pollination,EuPPollNet,15,Greece,
Daucus carota,Anthaxia mundula,pollination,EuPPollNet,579,Greece,
Daucus carota,Anthaxia umbellatarum,pollination,EuPPollNet,29,Greece,
Salvia fruticosa,Osmia caerulescens,pollination,EuPPollNet,2,Greece,
Satureja thymbra,Osmia caerulescens,pollination,EuPPollNet,5,Greece,
Stachys cretica,Hoplitis pallicornis,pollination,EuPPollNet,5,Greece,
Crepis commutata,Osmia scutellaris,pollination,EuPPollNet,25,Greece,
Daucus carota,Hylaeus trifidus,pollination,EuPPollNet,39,Greece,
Crepis commutata,Nomada rubricollis,pollination,EuPPollNet,1,Greece,
Sonchus asper,Lasioglossum leucozonium,pollination,EuPPollNet,1,Greece,
Helichrysum stoechas,Eristalinus aeneus,pollination,EuPPollNet,3,Greece,
Stachys cretica,Anthophora agama,pollination,EuPPollNet,3,Greece,
Cistus parviflorus,Andrena flavipes,pollination,EuPPollNet,7,Greece,
Cistus parviflorus,Halictus tetrazonianellus,pollination,EuPPollNet,1,Greece,
Genista acanthoclada,Halictus tetrazonianellus,pollination,EuPPollNet,18,Greece,
Verbascum sinuatum,Halictus tetrazonianellus,pollination,EuPPollNet,1,Greece,
