plant,insect,group
"Taraxacum","Andrena flavipes","Bee"
"Thymus polytrichus","Andrena flavipes","Bee"
"Thymus pulegioides","Andrena flavipes","Bee"
"Thymus serpyllum","Andrena flavipes","Bee"
"Trifolium pratense","Andrena flavipes","Bee"
"Trifolium repens","Andrena flavipes","Bee"
"Tripleurospermum inodorum","Andrena flavipes","Bee"
"Tussilago farfara","Andrena flavipes","Bee"
"Ulex europaeus","Andrena flavipes","Bee"
"Veronica beccabunga","Andrena flavipes","Bee"
"Veronica chamaedrys","Andrena flavipes","Bee"
"Veronica officinalis","Andrena flavipes","Bee"
"Veronica persica","Andrena flavipes","Bee"
"Veronica spicata","Andrena flavipes","Bee"
"Bryonia dioica","Andrena florea","Bee"
"Anthriscus sylvestris","Andrena fucata","Bee"
"Euphorbia amygdaloides","Andrena fucata","Bee"
"Heracleum mantegazzianum","Andrena fucata","Bee"
"Heracleum sphondylium","Andrena fucata","Bee"
"Oenanthe crocata","Andrena fucata","Bee"
"Oenanthe pimpinelloides","Andrena fucata","Bee"
"Oenanthe silaifolia","Andrena fucata","Bee"
"Rhododendron ponticum","Andrena fucata","Bee"
"Rubus caesius","Andrena fucata","Bee"
"Rubus fruticosus","Andrena fucata","Bee"
"Rubus idaeus","Andrena fucata","Bee"
"Rubus spectabilis","Andrena fucata","Bee"
"Taraxacum","Andrena fucata","Bee"
"Ulex europaeus","Andrena fucata","Bee"
"Veronica beccabunga","Andrena fucata","Bee"
"Veronica chamaedrys","Andrena fucata","Bee"
"Veronica officinalis","Andrena fucata","Bee"
"Veronica persica","Andrena fucata","Bee"
"Veronica spicata","Andrena fucata","Bee"
"Acer campestre","Andrena fulva","Bee"
"Acer platanoides","Andrena fulva","Bee"
"Acer pseudoplatanus","Andrena fulva","Bee"
"Angelica sylvestris","Andrena fulva","Bee"
"Brassica napus","Andrena fulva","Bee"
"Calluna vulgaris","Andrena fulva","Bee"
"Cotoneaster bullatus","Andrena fulva","Bee"
"Cotoneaster horizontalis","Andrena fulva","Bee"
"Cotoneaster simonsii","Andrena fulva","Bee"
"Crataegus monogyna","Andrena fulva","Bee"
"Euphorbia amygdaloides","Andrena fulva","Bee"
"Ilex aquifolium","Andrena fulva","Bee"
"Malus domestica","Andrena fulva","Bee"
"Malus sylvestris","Andrena fulva","Bee"
"Prunus avium","Andrena fulva","Bee"
"Prunus cerasifera","Andrena fulva","Bee"
"Prunus cerasus","Andrena fulva","Bee"
"Prunus domestica","Andrena fulva","Bee"
"Prunus laurocerasus","Andrena fulva","Bee"
"Prunus padus","Andrena fulva","Bee"
